Month,Revenue,Operating_Expenses,Marketing_Expenses,Salaries,Total_Expenses
January,450000,80000,25000,120000,225000
February,480000,82000,28000,120000,230000
March,520000,85000,30000,125000,240000
April,495000,83000,27000,122000,232000
May,530000,88000,32000,125000,245000
June,560000,90000,35000,128000,253000
July,575000,92000,33000,130000,255000
August,590000,95000,36000,130000,261000
September,610000,97000,38000,132000,267000
October,625000,98000,40000,135000,273000
November,640000,100000,42000,135000,277000
December,680000,105000,45000,140000,290000
